p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
7.5089343285966e-15	0.281946897899824	0.847	0.723	2.04858746352772e-10	0	si:ch73-21g5.7
1.19941310856129e-14	0.286832362725031	0.418	0.24	3.27223884277692e-10	0	pax7b
1.05239923019657e-13	0.272560776315295	0.996	0.995	2.87115557982229e-09	0	her4.2.1
2.27534876066686e-13	0.349573631386378	0.27	0.124	6.20760648885132e-09	0	gsx1
5.67941331049652e-12	0.4229172687434	0.461	0.294	1.54945753936966e-07	0	fabp7a
1.53210390575895e-78	0.716714180083971	1	0.826	4.17988587569156e-74	1	mdkb
1.50289199307083e-77	0.772496174587083	0.974	0.44	4.10018993549584e-73	1	zic2b
9.78528459239924e-67	0.632536285992328	0.867	0.32	2.66962134249836e-62	1	zic3
1.2284936763775e-59	0.439875099564928	0.412	0.068	3.35157644789309e-55	1	casz1
3.13370475634622e-58	0.620208801209091	0.847	0.351	8.54937331626377e-54	1	msx3
1.73857836951826e-55	0.42435878962475	0.588	0.161	4.7431895077197e-51	1	zic1
7.65067775248866e-44	0.494236233719221	0.724	0.309	2.08725790443396e-39	1	cdon
1.04881837943702e-40	0.475796318222	0.802	0.423	2.86138630278009e-36	1	fzd10
3.03945256881218e-40	0.508343852274454	0.916	0.509	8.29223449823339e-36	1	msx1b
1.77372038264509e-37	0.352596547857957	0.468	0.142	4.83906394793234e-33	1	zic4
5.70301638703239e-34	0.467483031835552	0.799	0.482	1.55589693071018e-29	1	grasp
1.70506603468365e-30	0.398461223781381	0.896	0.686	4.65176115582392e-26	1	boc
2.70271906655041e-29	0.30957844959205	0.468	0.17	7.37355815736282e-25	1	pdgfaa
4.52786439020505e-29	0.37376051564428	0.737	0.38	1.23529196293574e-24	1	zic2a
4.86312472133148e-29	0.310899531713404	0.529	0.215	1.32675768647366e-24	1	wnt8b
1.68469110057663e-27	0.353820129827376	0.792	0.469	4.59617426059317e-23	1	epha2a
3.21475956369115e-26	0.353035345700557	0.536	0.239	8.77050704166221e-22	1	hey2
1.21628812625495e-24	0.275344117644453	0.338	0.109	3.31827726604876e-20	1	myca
2.27560314387336e-24	0.304228013088623	0.828	0.561	6.20830049711529e-20	1	wls
3.79995325629171e-24	0.31745397713959	0.994	0.931	1.0367032473815e-19	1	lfng
1.46482607057499e-22	0.346405146324844	1	0.939	3.99633848574267e-18	1	mdka
6.78564225594948e-22	0.301349515761637	0.471	0.209	1.85125892026814e-17	1	VPS37D
3.42105244794417e-21	0.32502320979849	0.805	0.583	9.33331528848128e-17	1	sox13
1.03664259186801e-20	0.343381694222992	0.883	0.715	2.8281683191343e-16	1	id2a
1.17988272893718e-20	0.281029591685976	0.367	0.14	3.21895606108641e-16	1	cebpd
1.81446319120492e-20	0.352946760589955	0.62	0.358	4.95021847824526e-16	1	efnb2a
5.24592799212026e-19	0.292287474415668	0.708	0.455	1.43119407481025e-14	1	nr2f1a
6.58243204825511e-18	0.414199647233346	0.279	0.096	1.79581911140496e-13	1	atoh1a
2.85095180951183e-17	0.342594281272595	0.773	0.568	7.77796672671016e-13	1	mych
1.29460762549928e-16	0.375989848699706	0.893	0.712	3.53194852388713e-12	1	id3
4.67400321409983e-16	0.252678192516622	0.568	0.341	1.27516155687072e-11	1	neo1a
4.29584882948734e-15	0.271000167345618	0.659	0.426	1.17199347766074e-10	1	nr2f1b
4.94005491813917e-15	0.262472062202467	0.89	0.74	1.34774578276673e-10	1	nr2f5
5.55155074366826e-15	0.258649614096424	0.539	0.323	1.51457407388757e-10	1	arhgap12b
3.82735333529695e-113	1.04795428500206	0.79	0.121	1.04417853693572e-108	2	hoxd4a
2.93546224236177e-58	0.84112062514901	0.857	0.409	8.00852808961138e-54	2	wnt11r
1.39338382822782e-45	0.754568653319472	0.862	0.477	3.80142976017114e-41	2	crabp2a
3.28927444274296e-40	0.775612722127692	0.686	0.288	8.97379853469135e-36	2	fabp7a
1.58636058936972e-39	0.513061132369218	0.252	0.029	4.32790895991847e-35	2	nkx2.2b
1.87641424475488e-36	0.576743609189567	0.976	0.817	5.11923334254027e-32	2	jun
1.46509595767355e-35	0.933698263685305	0.267	0.041	3.99707479172498e-31	2	nkx2.9
2.40062583540876e-29	0.309392544065498	0.362	0.089	6.54938740416217e-25	2	rhbdl3
7.97606673892905e-29	0.533498799571544	0.367	0.101	2.17603052771462e-24	2	cygb1
1.40423600566671e-24	0.427769477637465	0.557	0.252	3.83103667065993e-20	2	tshz1
1.48631083811431e-23	0.395454405499126	0.605	0.281	4.05495322854347e-19	2	zfp36l2
2.17916987039302e-22	0.338807260660223	0.252	0.058	5.94521124040623e-18	2	bhlhe22
2.38228825489314e-22	0.431948833810877	0.795	0.567	6.49935881699948e-18	2	plekhh1
1.03916915885234e-21	0.419275169632441	0.957	0.918	2.83506129918095e-17	2	ptges3a
2.12663488877631e-20	0.298922551063498	0.386	0.136	5.80188530355953e-16	2	sp8a
8.58224721924575e-20	0.498284264270926	0.838	0.733	2.34140868635463e-15	2	fxyd6l
1.77083600572192e-18	0.321455350565332	1	0.989	4.83119479081055e-14	2	fosab
3.31795137161941e-18	0.342207775288443	0.619	0.34	9.05203493205209e-14	2	errfi1b
3.61713406796169e-18	0.429120489730122	0.938	0.785	9.86826516421308e-14	2	jdp2b
3.28884860132927e-17	0.684744212560614	0.462	0.219	8.97263675414652e-13	2	neurog1
1.09850110269658e-16	0.250940381099358	0.314	0.106	2.9969307083768e-12	2	phlda1
8.84213410380013e-15	0.364909636189755	0.605	0.354	2.41231102619875e-10	2	sox21a
2.61435704567656e-14	0.270861539468917	0.343	0.141	7.1324888920148e-10	2	efemp2b
2.80407107006294e-14	0.285866808233862	0.995	0.978	7.65006669334572e-10	2	ccnd1
4.84190241438536e-14	0.287507641052444	0.329	0.13	1.32096781669261e-09	2	nkx6.1
1.26062452282283e-13	0.26214539612726	0.481	0.25	3.43923582316525e-09	2	col4a5
1.94246832812349e-12	0.294036050942242	0.395	0.192	5.2994420927865e-08	2	fzd8a
4.8241231772759e-12	0.331469172546866	0.538	0.289	1.31611728522441e-07	2	hoxa3a
2.23054271281927e-11	0.327086621025284	0.986	0.964	6.08536662911354e-07	2	her6
1.80634038525529e-10	0.303216801445094	0.529	0.308	4.92805783905348e-06	2	ntn1a
