p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.61583429161713	0.849	0.127	0	1	CU467822.1
0	1.59147391879891	0.986	0.781	0	1	her12
0	1.59067240937516	0.73	0.073	0	1	CR848047.1
0	1.13663609571619	0.568	0.068	0	1	CU929451.2
5.03089356557764e-295	1.41961765455296	0.98	0.666	1.37252838256089e-290	1	si:ch73-21g5.7
2.15365047803727e-252	1.91181793748072	0.887	0.579	5.87558923418128e-248	1	her4.4
7.32298861203693e-224	2.34681209941415	0.791	0.367	1.99785775313591e-219	1	fabp7a
1.57544057296556e-214	0.992836982230679	0.967	0.675	4.29811697116463e-210	1	sb:cb81
1.73585623375699e-206	0.983704884132254	0.992	0.851	4.73576297693582e-202	1	AL929185.2
1.24543202639147e-200	1.48402500893671	0.286	0.023	3.39778765440122e-196	1	si:ch211-251b21.1
7.10597123248153e-198	1.01977165481616	0.906	0.633	1.93865107164561e-193	1	lrrn1
1.99713804562858e-183	0.773690171366002	0.391	0.06	5.44859201608389e-179	1	si:ch73-215f7.1
1.79504942392604e-176	0.940135956256676	0.981	0.856	4.89725383835502e-172	1	si:ch211-193l2.7
9.27968111596001e-175	0.915676713833983	0.358	0.059	2.53168260205621e-170	1	atp1b4
2.08890683941785e-165	1.24068795587233	0.364	0.067	5.69895563929978e-161	1	atp1a1b
9.28409891461731e-159	0.680669091195131	0.999	0.997	2.53288786588589e-154	1	tmsb4x
4.51312337004747e-142	1.05763188138647	0.74	0.422	1.23127031781635e-137	1	angptl4
1.07373886454413e-138	1.13486400728585	0.378	0.091	2.9293743702493e-134	1	prss35
7.18568316433045e-123	1.0325775035308	0.932	0.737	1.96039808089263e-118	1	her4.2.1
5.0000926703113e-99	0.75936240032635	0.364	0.115	1.36412528231433e-94	1	sox9b
6.68827365524844e-98	0.87753472009933	0.917	0.708	1.82469481862488e-93	1	her4.1
8.22956073809778e-96	0.707890278840795	0.861	0.683	2.24518876056784e-91	1	lfng
1.32578662386653e-94	0.884728133154179	0.923	0.724	3.61701106723268e-90	1	her4.2
3.05738406393208e-93	0.736368480001659	0.769	0.571	8.3411552032195e-89	1	gas1b
2.24885075033487e-84	0.801858663388761	0.662	0.486	6.13531461706359e-80	1	plp1a
3.52162634132188e-79	0.847412427279454	0.365	0.142	9.60770098439435e-75	1	ndst3
4.34963489487624e-78	0.726956526349974	0.643	0.446	1.18666739202014e-73	1	tspan3a
7.42798758029461e-51	0.763155986109428	0.531	0.389	2.02650357165598e-46	1	cd82a
1.53865168189175e-26	0.694910735741574	0.435	0.339	4.19774951853708e-22	1	zgc:165461
0	1.01289328296246	0.952	0.297	0	2	dkc1
1.97078008188943e-292	0.815918540458489	0.855	0.218	5.37668221941074e-288	2	surf6
1.33950617485811e-274	1.12118183666101	0.994	0.522	3.65444074624788e-270	2	npm1a
4.10899055454924e-271	0.780586799979041	0.822	0.207	1.12101480309212e-266	2	eif4ebp3l
1.51018188425637e-257	0.948298511053061	0.983	0.419	4.12007821662822e-253	2	nop58
5.52759978548825e-252	0.899456396477337	0.973	0.4	1.5080397734769e-247	2	fbl
2.7277343653816e-247	0.909857141793668	0.953	0.381	7.44180489563409e-243	2	nhp2
8.69129711085848e-245	0.774915645857061	0.869	0.259	2.37115967778441e-240	2	si:dkey-95p16.2
3.96982239311535e-244	0.93388136136599	0.996	0.641	1.08304694528973e-239	2	ncl
4.18007940782216e-244	0.932931932500973	0.983	0.482	1.14040926404204e-239	2	snu13b
2.10051455421442e-235	0.722964022252308	0.897	0.287	5.73062380680778e-231	2	kpnb3
8.73317116003764e-234	0.849217875397243	0.997	0.624	2.38258375588147e-229	2	cnbpa
1.33070547113797e-232	0.823125877942527	0.525	0.084	3.63043066635862e-228	2	cyp26c1
4.89544880062855e-229	0.863145035022799	0.977	0.46	1.33557634178748e-224	2	nop10
1.35946049550005e-222	0.894280780852815	0.999	0.488	3.70888012382323e-218	2	cldn5a
1.32214452552137e-218	0.784335764292479	0.958	0.391	3.60707469452741e-214	2	prps1a
1.29858480751749e-208	0.823513103534237	0.997	0.511	3.54279907186922e-204	2	banf1
4.78159045687844e-197	0.868660584222775	0.886	0.312	1.30451350844558e-192	2	hells
1.5286873463848e-196	0.782626649557823	0.769	0.241	4.17056481840702e-192	2	cdk1
2.07819304402195e-189	0.743568148967863	0.975	0.439	5.66972626270069e-185	2	seph
1.87293896629781e-187	0.743159026102238	0.996	0.53	5.1097520878537e-183	2	anp32b
1.55012924616498e-182	0.742958443342867	0.992	0.532	4.22906260938729e-178	2	nop56
