p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.01245470340386e-76	0.878546270585595	0.595	0.157	5.49037892182641e-72	1	gfap
2.34448935101938e-76	0.934075081754694	0.981	0.49	6.39623584745108e-72	1	her4.2
4.93015702475369e-74	0.889033948149162	0.846	0.322	1.3450454394933e-69	1	CR848047.1
6.21103362532161e-73	0.841252573925799	0.929	0.43	1.69449419366024e-68	1	si:ch211-193l2.5
1.23193538764025e-72	0.829789284005741	0.428	0.08	3.36096612456014e-68	1	ndnf
1.16347732192342e-71	0.866701627529733	0.932	0.444	3.17419882967148e-67	1	lrrn1
2.9893710755619e-70	0.801725287170745	0.987	0.497	8.15560216834798e-66	1	sox3
6.44688798082799e-64	0.852353106881763	0.945	0.515	1.75883997892949e-59	1	her4.1
1.55217016124047e-63	0.763056679832721	1	0.782	4.23463063389625e-59	1	AL929185.2
6.03503938271135e-63	0.810927602241943	0.482	0.117	1.64647944439131e-58	1	fzd7a
1.27520168731484e-62	0.75689464600635	0.968	0.535	3.47900524333236e-58	1	si:ch211-193l2.4
3.81248375455971e-62	0.755628553015031	0.91	0.454	1.04012181791898e-57	1	CU467822.1
2.19341112205398e-59	0.854601968093202	0.54	0.158	5.98406422318767e-55	1	id3
1.37634551554783e-54	0.859323276346965	0.801	0.353	3.7549458355176e-50	1	her2
1.86829386841015e-53	0.801974738217931	0.437	0.115	5.09707933179656e-49	1	lipg
1.69542517963929e-43	0.762369554705062	0.466	0.149	4.6254589750919e-39	1	nrxn1b
3.14064149802587e-278	1.33668665462178	0.724	0.035	8.56829813491417e-274	2	ccna2
4.35890759502973e-274	1.50778123584373	0.737	0.042	1.18919717007601e-269	2	mki67
1.85685572026691e-263	1.72457729920042	0.71	0.04	5.06587377603218e-259	2	nusap1
6.66776309778275e-247	1.37656512348949	0.673	0.037	1.81909912833709e-242	2	mad2l1
2.59143389720194e-234	1.13417344226077	0.606	0.027	7.06994995834634e-230	2	aurkb
5.90497649331127e-221	1.16111496004663	0.572	0.026	1.61099568690518e-216	2	dlgap5
4.26263252515891e-219	1.23451345913521	0.724	0.062	1.16293140551385e-214	2	lbr
1.21222055067595e-217	1.3991674418478	0.589	0.032	3.30718010635413e-213	2	ube2c
4.9053802069949e-212	1.49426835133607	0.552	0.026	1.33828582807235e-207	2	si:ch211-69g19.2
