p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
7.84485555532073e-225	0.795934326578705	0.994	0.496	2.1402334926026e-220	0	banf1
1.31015421556001e-223	0.635972585252364	0.813	0.249	3.57436273089082e-219	0	si:dkey-95p16.2
1.29281005750142e-222	0.577130873701001	0.751	0.215	3.52704439887539e-218	0	llph
5.39940527735755e-222	0.529839939106793	0.592	0.131	1.47306574776869e-217	0	znfl2a
1.4968754864451e-220	0.531440453863728	0.737	0.205	4.08377570211952e-216	0	rfc2
9.73108154026929e-220	0.713369396393677	0.998	0.617	2.65483366581627e-215	0	ranbp1
4.08198432927008e-217	0.560921039250341	0.719	0.205	1.11364696471146e-212	0	aga
7.78317546800171e-217	0.659783429634216	0.917	0.355	2.12340593118023e-212	0	npm3
6.36387803262597e-216	0.747181592885158	0.972	0.468	1.73619320486102e-211	0	sox19a
7.28591766106613e-216	0.61259218706205	0.846	0.284	1.98774405629206e-211	0	fen1
3.36577595239898e-211	0.644681240283763	0.907	0.34	9.18250995333489e-207	0	nutf2l
1.1263579256188e-209	0.602940525629208	1	0.847	3.0729296926732e-205	0	seta
1.52800818250039e-207	0.552097581616542	0.723	0.203	4.16871192349756e-203	0	eif4ebp3l
2.16965472119933e-207	0.55822860902853	0.835	0.275	5.91925201037602e-203	0	hirip3
2.7860730749213e-205	0.653219567702801	0.894	0.347	7.60096456300028e-201	0	pa2g4a
1.43507598352225e-203	0.729514676919123	0.813	0.276	3.91517429824541e-199	0	mcm3
7.17121067025047e-203	0.545232889495302	0.641	0.165	1.95644969505773e-198	0	plekhh1
2.6632095994828e-202	0.715303061935474	0.997	0.472	7.26576842930897e-198	0	cldn5a
3.3198124569234e-202	0.593668549217561	0.868	0.325	9.05711234497841e-198	0	prpf19
1.32406554130211e-201	0.716356688237346	0.665	0.186	3.61231560978043e-197	0	rgcc
1.46058547829598e-201	0.508891980102259	0.999	0.921	3.98476930188709e-197	0	hnrnpabb
5.40475467348324e-201	0.554515534988844	0.819	0.27	1.4745251700197e-196	0	ivns1abpb
2.15031362317353e-200	0.528867275573574	0.697	0.201	5.86648562674204e-196	0	rbm19
5.84613948828092e-200	0.553022645165176	0.827	0.279	1.5949437751928e-195	0	pole4
4.00781837143119e-198	0.587508730995641	0.846	0.304	1.09341300809386e-193	0	gar1
1.30102763448322e-197	0.671346360891954	0.826	0.288	3.54946359239711e-193	0	mibp
5.15422738970584e-197	0.608381794081825	0.928	0.361	1.40617631645955e-192	0	chaf1a
2.20359158791995e-196	0.455584999853213	0.549	0.122	6.01183857016321e-192	0	dctpp1
4.47800562892202e-196	0.531361885598206	0.722	0.226	1.2216894956825e-191	0	hpf1
2.40464767103865e-195	0.786610911168597	0.992	0.621	6.56035977612765e-191	0	her2
8.37915064636585e-195	0.548133820145539	0.793	0.261	2.28599987934153e-190	0	si:ch73-308l14.2
2.60361315519249e-194	0.652281100752288	0.999	0.712	7.10317740999616e-190	0	sumo3b
4.07794350446322e-194	0.547257720078042	0.762	0.244	1.11254454688765e-189	0	nolc1
1.65664713217843e-193	0.630984503096084	0.998	0.659	4.51966470600919e-189	0	cbx3a
3.32692114745946e-192	0.548905370405733	0.797	0.268	9.07650627449889e-188	0	ssb
1.81064442989651e-191	0.578031920356232	0.863	0.318	4.93980013364366e-187	0	ndufab1a
7.8106710783829e-191	0.482755786126388	0.655	0.177	2.13090728360442e-186	0	gnl3
4.5981248732225e-189	0.472528511016039	0.663	0.181	1.25446042791256e-184	0	tomm20a
4.89666398081365e-189	0.581896822001481	0.739	0.233	1.33590786724558e-184	0	zgc:110540
4.6104242759286e-188	0.647753105494695	0.983	0.539	1.25781595095884e-183	0	pdap1a
7.71974808643671e-188	0.53332217308377	0.757	0.249	2.10610167294166e-183	0	adssl
1.84018852659386e-187	0.520876535072315	0.674	0.197	5.02040233825336e-183	0	skp2
9.88391050314705e-186	0.562511310594328	0.846	0.316	2.69652846346858e-181	0	psme3
3.76389424347388e-184	0.388579891700192	0.521	0.115	1.02686562750454e-179	0	si:ch211-282b22.1
2.44001367149762e-182	0.466421030272368	0.713	0.219	6.6568452985798e-178	0	bxdc2
3.53297329104804e-182	0.416066292484981	0.522	0.119	9.63865773263725e-178	0	adi1
5.0648774086075e-182	0.484497280329442	0.685	0.202	1.3817998546163e-177	0	unga
6.95664438044715e-182	0.494989864630675	0.707	0.216	1.89791171987359e-177	0	rrp1
